DISTRITO,COD_DIST,UGM,HOMBRES,MUJERES,TOTAL,CARENCIAS_ALBERGUE,CARENCIAS_ALBERGUE_HOMBRES,CARENCIAS_ALBERGUE_MUJERES,CARENCIAS_ACCESO_VIDA_SALUDABLE,CARENCIAS_ACCESO_VIDA_SALUDABLE_HOMBRES,CARENCIAS_ACCESO_VIDA_SALUDABLE_MUJERES,CARENCIAS_CONOCIMIENTO,CARENCIAS_CONOCIMIENTO_HOMBRES,CARENCIAS_CONOCIMIENTO_MUJERES,CARENCIAS_ACCESO_OTROS_BIENES,CARENCIAS_ACCESO_OTROS_BIENES_HOMBRES,CARENCIAS_ACCESO_OTROS_BIENES_MUJERES,SIN_CARENCIAS,SIN_CARENCIAS_HOMBRES,SIN_CARENCIAS_MUJERES,CARENCIAS_1,CARENCIAS_1_HOMBRES,CARENCIAS_1_MUJERES,CARENCIAS_2,CARENCIAS_2_HOMBRES,CARENCIAS_2_MUJERES,CARENCIAS_3,CARENCIAS_3_HOMBRES,CARENCIAS_3_MUJERES,CARENCIAS_4,CARENCIAS_4_HOMBRES,CARENCIAS_4_MUJERES,NULO,CON_CARENCIAS,CON_CARENCIAS_HOMBRES,CON_CARENCIAS_MUJERES,TOTAL_2,NORMALIZACION_BASE_100_CARENCIAS,SIN_LIMITACIONES,SIN_LIMITACIONES_HOMBRES,SIN_LIMITACIONES_MUJERES,CON_LIMITACIONES,CON_LIMITACIONES_HOMBRES,CON_LIMITACIONES_MUJERES,LIMITACION_VISUAL,LIMITACION_VISUAL_HOMBRES,LIMITACION_VISUAL_MUJERES,LIMITACION_AUDITIVA,LIMITACION_AUDITIVA_HOMBRES,LIMITACION_AUDITIVA_MUJERES,LIMITACION_HABLAR,LIMITACION_HABLAR_HOMBRES,LIMITACION_HABLAR_MUJERES,LIMITACION_CAMINAR,LIMITACION_CAMINAR_HOMBRES,LIMITACION_CAMINAR_MUJERES,LIMITACION_BRAZOS_Y_PIERNAS,LIMITACION_BRAZOS_Y_PIERNAS_HOMBRES,LIMITACION_BRAZOS_Y_PIERNAS_MUJERES,LIMITACION_INTELECTUAL,LIMITACION_INTELECTUAL_HOMBRES,LIMITACION_INTELECTUAL_MUJERES,LIMITACION_MENTAL,LIMITACION_MENTAL_HOMBRES,LIMITACION_MENTAL_MUJERES,TOTAL_3,NORMALIZACION_BASE_100_LIMITACIONES,DEPENDENCIA_EDAD_0_14,DEPENDENCIA_EDAD_0_14_HOMBRES,DEPENDENCIA_EDAD_0_14_MUJERES,DEPENDENCIA_EDAD_MAYORIGUAL_65,DEPENDENCIA_EDAD_MAYORIGUAL_65_HOMBRES,DEPENDENCIA_EDAD_MAYORIGUAL_65_MUJERES,EDAD_15_64,EDAD_15_64_HOMBRES,EDAD_15_64_MUJERES,POBLACION_DEPENDIENTE,POBLACION_DEPENDIENTE_HOMBRES,POBLACION_DEPENDIENTE_MUJERES,TOTAL_4,NORMALIZACION_BASE_100_DEPENDIENTES,POBLACION_DESOCUPADA,POBLACION_DESOCUPADA_HOMBRES,POBLACION_DESOCUPADA_MUJERES,POBLACION_OCUPADA,POBLACION_OCUPADA_HOMBRES,POBLACION_OCUPADA_MUJERES,FUERA_DE_LA_FUERZA_LABORAL,FUERA_DE_LA_FUERZA_LABORAL_HOMBRES,FUERA_DE_LA_FUERZA_LABORAL_MUJERES,NORMALIZACION_BASE_100_DESOCUPADOS,MEDIOS_DE_VIDA,MV_AGRICULTURA_GANADERIA_PESCA_HOMBRES,MV_AGRICULTURA_GANADERIA_PESCA_MUJERES,MV_MINAS_CANTERAS_HOMBRES,MV_MINAS_CANTERAS_MUJERES,MV_INDUSTRIAS_MANUFACTURERAS_HOMBRES,MV_INDUSTRIAS_MANUFACTURERAS_MUJERES,MV_SUMINISTRO_ELECTRICIDAD_GAS_HOMBRES,MV_SUMINISTRO_ELECTRICIDAD_GAS_MUJERES,MV_SUMINISTRO_AGUA_HOMBRES,MV_SUMINISTRO_AGUA_MUJERES,MV_CONSTRUCCION_HOMBRES,MV_CONSTRUCCION_MUJERES,MV_COMERCIO_REPARACION_VEHICULOS_HOMBRES,MV_COMERCIO_REPARACION_VEHICULOS_MUJERES,MV_TRANSPORTE_ALMACENAMIENTO_HOMBRES,MV_TRANSPORTE_ALMACENAMIENTO_MUJERES,MV_ALOJAMIENTO_SERVICIO_COMIDA_HOMBRES,MV_ALOJAMIENTO_SERVICIO_COMIDA_MUJERES,MV_INFORMACION_COMUNICACION_HOMBRES,MV_INFORMACION_COMUNICACION_MUJERES,MV_FINANCIERAS_SEGUROS_HOMBRES,MV_FINANCIERAS_SEGUROS_MUJERES,MV_ACTIVIDADES_INMOBILIARIAS_HOMBRES,MV_ACTIVIDADES_INMOBILIARIAS_MUJERES,MV_PROFESIONALES_CIENTIFICAS_TECNICAS_HOMBRES,MV_PROFESIONALES_CIENTIFICAS_TECNICAS_MUJERES,MV_ADMINISTRATIVAS_SERVICIO_APOYO_HOMBRES,MV_ADMINISTRATIVAS_SERVICIO_APOYO_MUJERES,MV_ADMINISTRACION_PUBLICA_HOMBRES,MV_ADMINISTRACION_PUBLICA_MUJERES,MV_ENSENANZA_HOMBRES,MV_ENSENANZA_MUJERES,MV_SALUD_HUMANA_HOMBRES,MV_SALUD_HUMANA_MUJERES,MV_ARTISTICAS_RECREATIVAS_HOMBRES,MV_ARTISTICAS_RECREATIVAS_MUJERES,MV_OTRAS_ACTIVIDADES_SERVICIO_HOMBRES,MV_OTRAS_ACTIVIDADES_SERVICIO_MUJERES,MV_HOGARES_CALIDAD_EMPLEADORES_HOMBRES,MV_HOGARES_CALIDAD_EMPLEADORES_MUJERES,MV_ORGANIZACIONES_EXTRATERRITORIALES_HOMBRES,MV_ORGANIZACIONES_EXTRATERRITORIALES_MUJERES,NORMALIZACION_BASE_100_MEDIOS_DE_VIDA,LONGITUD_CAMINOS_PCT,NORMALIZACION_BASE_100_10_CAMINOS,AREA_ASP_PCT,NORMALIZACION_BASE_100_10_ASP,AREA_SOBREUSO_PCT,NORMALIZACION_BASE_100_10_SOBREUSO,SUMA_VULNERABILIDADES,INDICE_VULNERABILIDAD_INTEGRADO,CATEGORIA_VULNERABILIDAD
San Joaquín       ,40801,66,12,15,27,0,0,0,0,0,0,0,0,0,0,0,0,27,12,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0.0,26,11,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,27,1.333333333,5,1,4,4,2,2,18,9,9,9,3,6,27,2.834008097,1,0,1,9,7,2,12,4,8,6.666666666,133.3199,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,71.5409013411403,42.252678208834155,0.0,0.0,0.0,0.019087853124418838,0.0,82.3749094371403,13.24655839915331,Medio
San Joaquín       ,40801,827,29,27,56,0,0,0,0,0,0,0,0,0,1,0,1,54,29,25,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,56,0.495049504,52,26,26,4,3,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,3,3,0,0,0,0,56,5.333333333,7,4,3,12,5,7,37,20,17,19,9,10,56,6.882591093,0,0,0,27,16,11,22,9,13,0.0,105.8029,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,2,1,1,0,0,0,0,0,0,3,4,4,3,0,1,1,0,0,0,0,1,0,0,1,0,0,44.12121381218057,42.252678208834155,0.0,0.0,0.0,0.019087853124418838,0.0,56.83218774218057,6.707171436623859,Bajo
San Joaquín       ,40801,1326,15,22,37,17,7,10,0,0,0,3,2,1,0,0,0,16,6,10,20,9,11,0,0,0,0,0,0,0,0,0,1,20,9,11,37,9.900990099,32,14,18,5,1,4,2,0,2,2,0,2,0,0,0,3,1,2,0,0,0,1,1,0,0,0,0,37,6.666666666,6,3,3,6,2,4,25,10,15,12,5,7,37,4.048582995,0,0,0,13,7,6,20,6,14,0.0,114.2799,0,0,0,0,0,1,1,0,0,0,1,0,2,2,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,52.56823533280388,42.252678208834155,0.0,0.0,0.0,0.019087853124418838,0.0,73.18447509280388,10.893645219067423,Medio
San Joaquín       ,40801,2136,46,62,108,0,0,0,0,0,0,0,0,0,1,0,1,106,45,61,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,108,0.495049504,103,41,62,5,5,0,2,2,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,2,2,0,108,6.666666666,15,8,7,15,4,11,78,34,44,30,12,18,108,11.336032388,3,3,0,47,21,26,49,17,32,20.0,99.2773,0,0,0,0,3,3,0,1,1,0,1,0,2,5,2,1,0,0,1,4,1,1,0,0,0,1,0,1,2,3,5,5,0,1,3,0,0,0,0,0,0,0,37.618691264701575,42.252678208834155,0.0,0.0,0.0,0.019087853124418838,0.0,76.11643982270158,11.644279867882963,Medio
San Joaquín       ,40801,3233,92,94,186,2,1,1,0,0,0,27,11,16,33,14,19,128,67,61,54,24,30,4,1,3,0,0,0,0,0,0,0,58,25,33,186,28.712871287,158,78,80,28,14,14,18,10,8,3,1,2,0,0,0,6,2,4,6,3,3,1,1,0,1,0,1,186,37.333333333,44,22,22,12,6,6,130,64,66,56,28,28,186,21.862348178,2,2,0,75,47,28,77,27,50,13.333333333,101.32,2,0,0,0,15,5,0,0,0,0,2,0,6,2,3,2,3,3,0,0,2,0,0,0,1,0,8,2,1,3,1,9,0,1,3,0,0,0,0,1,0,0,39.65416736003922,42.252678208834155,0.0,0.0,0.0,0.019087853124418838,0.0,140.89605349103923,28.229002753698744,Alto-medio
San Joaquín       ,40801,4074,14,20,34,0,0,0,0,0,0,0,0,0,0,0,0,34,14,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0.0,33,14,19,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,34,1.333333333,9,5,4,0,0,0,25,9,16,9,5,4,34,2.834008097,0,0,0,19,9,10,10,0,10,0.0,114.2801,1,0,0,0,3,3,0,2,0,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,52.56843462551405,42.252678208834155,0.0,0.0,0.0,0.019087853124418838,0.0,56.73577605551405,6.682488345512745,Bajo
San Joaquín       ,40801,5668,18,23,41,0,0,0,0,0,0,0,0,0,0,0,0,40,18,22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,41,0.0,38,18,20,3,0,3,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,41,4.0,8,5,3,2,0,2,31,13,18,10,5,5,41,3.238866396,0,0,0,23,13,10,12,2,10,0.0,108.8819,0,0,0,0,2,1,0,0,0,0,0,0,2,2,5,0,0,0,1,0,1,2,0,0,0,1,1,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,47.189325085272365,42.252678208834155,0.0,0.0,0.0,0.019087853124418838,0.0,54.428191481272364,6.091706021689052,Bajo
San Joaquín       ,40801,5709,30,32,62,0,0,0,4,3,1,0,0,0,0,0,0,58,27,31,4,3,1,0,0,0,0,0,0,0,0,0,0,4,3,1,62,1.980198019,56,28,28,6,2,4,3,0,3,1,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,62,8.0,13,9,4,4,1,3,45,20,25,17,10,7,62,6.072874493,1,0,1,35,20,15,15,2,13,6.666666666,110.4629,1,0,0,0,5,3,0,0,0,0,0,0,3,5,3,0,0,0,1,1,2,1,1,1,0,0,0,1,0,1,4,1,0,0,0,1,0,0,0,0,0,0,48.764733959178876,42.252678208834155,0.0,0.0,0.0,0.019087853124418838,0.0,71.48447313717888,10.458414754684984,Bajo-medio
San Joaquín       ,40801,6383,145,114,259,4,1,3,6,2,4,21,12,9,3,2,1,227,128,99,30,17,13,2,0,2,0,0,0,0,0,0,0,32,17,15,259,15.841584158,216,119,97,43,26,17,32,19,13,6,4,2,2,2,0,8,7,1,6,3,3,7,5,2,2,2,0,259,57.333333333,49,28,21,13,8,5,197,109,88,62,36,26,259,24.291497975,3,3,0,132,78,54,91,45,46,20.0,85.2641,0,0,0,0,24,6,3,0,2,1,3,2,11,5,13,0,4,2,3,0,2,0,0,0,0,1,3,3,3,0,2,13,0,8,3,1,0,2,2,10,0,0,23.655048233818178,42.252678208834155,0.0,0.0,0.0,0.019087853124418838,0.0,141.12146369981818,28.28671174016126,Alto-medio
San Joaquín       ,40801,6611,97,105,202,45,22,23,0,0,0,22,13,9,8,5,3,149,70,79,31,14,17,22,13,9,0,0,0,0,0,0,0,53,27,26,202,26.237623762,191,86,105,11,11,0,3,3,0,0,0,0,0,0,0,2,2,0,2,2,0,4,4,0,2,2,0,202,14.666666666,53,30,23,3,2,1,146,65,81,56,32,24,202,21.862348178,0,0,0,88,51,37,71,23,48,0.0,125.0872,0,0,0,0,16,10,0,0,2,0,19,0,8,7,0,3,1,1,0,1,0,1,0,0,0,0,3,3,1,0,0,0,0,1,0,0,1,0,0,10,0,0,63.33731586599159,42.252678208834155,0.0,0.0,0.0,0.019087853124418838,0.0,126.10395447199159,24.44196468356652,Alto-medio
San Joaquín       ,40801,6774,37,42,79,0,0,0,0,0,0,10,6,4,0,0,0,68,31,37,10,6,4,0,0,0,0,0,0,0,0,0,1,10,6,4,79,4.950495049,70,32,38,9,5,4,6,4,2,2,0,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,79,12.0,26,13,13,1,1,0,52,23,29,27,14,13,79,10.121457489,2,2,0,34,17,17,22,6,16,13.333333333,96.633,1,0,0,0,3,5,0,0,0,0,2,0,1,1,1,0,0,0,0,0,1,1,3,1,0,3,1,1,0,0,0,3,4,1,0,0,0,0,0,1,0,0,34.98374269716775,42.252678208834155,0.0,0.0,0.0,0.019087853124418838,0.0,75.38902856816776,11.458049765582068,Medio
San Joaquín       ,40801,6826,12,13,25,0,0,0,0,0,0,0,0,0,0,0,0,25,12,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0.0,24,12,12,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,25,1.333333333,4,3,1,1,0,1,20,9,11,5,3,2,25,1.214574898,0,0,0,14,6,8,7,3,4,0.0,114.2802,0,0,0,0,2,2,0,0,0,0,0,1,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,52.56853427186913,42.252678208834155,0.0,0.0,0.0,0.019087853124418838,0.0,55.116442502869134,6.267910414131131,Bajo
San Joaquín       ,40801,7126,39,44,83,0,0,0,0,0,0,8,4,4,0,0,0,75,35,40,8,4,4,0,0,0,0,0,0,0,0,0,0,8,4,4,83,3.960396039,74,35,39,9,4,5,7,4,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,83,12.0,15,5,10,0,0,0,68,34,34,15,5,10,83,5.263157894,0,0,0,38,24,14,33,11,22,0.0,113.2738,0,0,0,0,6,1,3,0,0,0,0,0,3,2,2,0,0,0,2,0,0,0,0,0,4,0,0,1,0,1,0,6,4,3,0,0,0,0,0,0,0,0,51.56569335428564,42.252678208834155,0.0,0.0,0.0,0.019087853124418838,0.0,72.78924728728563,10.792459934683842,Medio
San Joaquín       ,40801,7197,42,42,84,0,0,0,0,0,0,8,4,4,0,0,0,76,38,38,8,4,4,0,0,0,0,0,0,0,0,0,0,8,4,4,84,3.960396039,70,37,33,14,5,9,8,3,5,3,0,3,0,0,0,5,1,4,3,0,3,0,0,0,1,1,0,84,18.666666666,12,8,4,5,2,3,67,32,35,17,10,7,84,6.072874493,0,0,0,53,30,23,22,5,17,0.0,101.1586,0,0,0,0,5,1,0,0,0,0,0,0,8,1,3,1,2,3,0,0,3,1,0,0,4,2,2,0,0,0,1,8,2,2,0,2,0,2,0,0,0,0,39.49333814293074,42.252678208834155,0.0,0.0,0.0,0.019087853124418838,0.0,68.19327534093074,9.615810109145675,Bajo-medio
San Joaquín       ,40801,8065,52,43,95,0,0,0,0,0,0,6,4,2,0,0,0,89,48,41,6,4,2,0,0,0,0,0,0,0,0,0,0,6,4,2,95,2.970297029,86,49,37,9,3,6,8,2,6,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,95,12.0,16,13,3,7,2,5,72,37,35,23,15,8,95,8.502024291,0,0,0,46,32,14,35,8,27,0.0,102.0611,0,0,0,0,6,0,0,0,0,0,0,0,8,4,5,0,0,4,3,0,1,0,0,0,4,0,3,0,1,1,1,3,0,0,0,0,0,1,0,1,0,0,40.39264649758009,42.252678208834155,0.0,0.0,0.0,0.019087853124418838,0.0,63.86496781758009,8.507687093672246,Bajo-medio
San Joaquín       ,40801,9368,54,61,115,8,4,4,6,3,3,0,0,0,2,0,2,106,50,56,2,1,1,7,3,4,0,0,0,0,0,0,0,9,4,5,115,4.455445544,106,51,55,9,3,6,4,1,3,2,0,2,0,0,0,2,0,2,1,1,0,1,1,0,0,0,0,115,12.0,21,11,10,16,9,7,78,34,44,37,20,17,115,14.170040485,0,0,0,52,30,22,44,14,30,0.0,93.0306,3,1,0,0,5,4,1,0,0,0,3,1,4,3,1,0,0,0,0,0,1,0,0,0,4,1,0,2,3,2,2,3,1,1,1,0,1,4,0,0,0,0,31.394082401556872,42.252678208834155,0.0,0.0,0.0,0.019087853124418838,0.0,62.01956843055687,8.035232324118821,Bajo-medio
San Joaquín       ,40801,9794,37,40,77,0,0,0,0,0,0,4,2,2,0,0,0,73,35,38,4,2,2,0,0,0,0,0,0,0,0,0,0,4,2,2,77,1.980198019,70,33,37,7,4,3,6,3,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,77,9.333333333,14,9,5,14,5,9,49,23,26,28,14,14,77,10.526315789,2,1,1,29,18,11,34,11,23,13.333333333,119.5271,0,0,0,0,3,3,0,0,0,0,0,0,8,1,2,0,0,0,0,0,0,0,0,0,0,1,2,0,2,2,0,2,1,1,0,0,0,1,0,0,0,0,57.796878876866,42.252678208834155,0.0,0.0,0.0,0.019087853124418838,0.0,92.970059350866,15.95910352411291,Medio
San Joaquín       ,40801,10097,6,6,12,0,0,0,0,0,0,0,0,0,0,0,0,12,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0.0,11,5,6,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1.333333333,2,2,0,3,1,2,7,3,4,5,3,2,12,1.214574898,0,0,0,7,3,4,3,1,2,0.0,161.8799,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,99.99990035364492,42.252678208834155,0.0,0.0,0.0,0.019087853124418838,0.0,102.54780858464491,18.411176142596222,Alto-medio
San Joaquín       ,40801,10702,112,98,210,4,4,0,0,0,0,10,6,4,0,0,0,195,102,93,14,10,4,0,0,0,0,0,0,0,0,0,1,14,10,4,210,6.930693069,197,105,92,13,7,6,8,5,3,3,1,2,0,0,0,6,3,3,1,0,1,0,0,0,1,1,0,210,17.333333333,58,38,20,19,8,11,133,66,67,77,46,31,210,30.364372469,5,5,0,90,47,43,65,25,40,33.333333333,78.7248,0,0,0,0,5,4,3,2,0,0,4,1,9,6,1,1,2,1,6,3,2,5,0,0,6,3,2,2,1,3,0,2,3,6,0,0,3,3,0,1,0,0,17.138874135692426,42.252678208834155,0.0,0.0,0.0,0.019087853124418838,0.0,105.10060633969243,19.06473736276276,Alto-medio
San Joaquín       ,40801,10897,20,12,32,0,0,0,2,1,1,0,0,0,0,0,0,30,19,11,2,1,1,0,0,0,0,0,0,0,0,0,0,2,1,1,32,0.990099009,28,18,10,4,2,2,0,0,0,2,2,0,0,0,0,2,0,2,0,0,0,0,0,0,2,2,0,32,5.333333333,0,0,0,17,11,6,15,9,6,17,11,6,32,6.072874493,0,0,0,10,9,1,22,11,11,0.0,152.36,0,0,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,90.5136669958318,42.252678208834155,0.0,0.0,0.0,0.019087853124418838,0.0,102.9099738308318,18.503896829039874,Alto-medio
San Joaquín       ,40801,11617,15,17,32,0,0,0,0,0,0,0,0,0,0,0,0,32,15,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0.0,32,15,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0.0,3,2,1,11,3,8,18,10,8,14,5,9,32,4.858299595,0,0,0,11,7,4,19,7,12,0.0,123.7999,1,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,62.05456833697209,42.252678208834155,0.0,0.0,0.0,0.019087853124418838,0.0,66.91286793197209,9.288003244361859,Bajo-medio
San Joaquín       ,40801,12674,9,12,21,0,0,0,0,0,0,0,0,0,0,0,0,20,9,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21,0.0,20,8,12,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,21,1.333333333,3,0,3,7,3,4,11,6,5,10,3,7,21,3.238866396,0,0,0,9,7,2,10,2,8,0.0,133.3199,1,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,71.5409013411403,42.252678208834155,0.0,0.0,0.0,0.019087853124418838,0.0,76.1131010701403,11.64342508837939,Medio
San Joaquín       ,40801,12693,25,24,49,0,0,0,0,0,0,0,0,0,0,0,0,49,25,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0.0,45,23,22,4,2,2,2,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,49,5.333333333,7,6,1,7,4,3,35,15,20,14,10,4,49,4.858299595,1,1,0,29,13,16,13,5,8,6.666666666,117.8772,0,0,0,0,3,1,0,0,0,0,0,0,0,6,1,0,1,4,0,1,0,0,2,2,4,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,56.15281366430538,42.252678208834155,0.0,0.0,0.0,0.019087853124418838,0.0,73.01111325830539,10.849261533810289,Medio
San Joaquín       ,40801,13193,29,33,62,0,0,0,0,0,0,0,0,0,0,0,0,61,29,32,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,62,0.0,56,27,29,6,2,4,1,1,0,2,1,1,1,0,1,4,0,4,1,0,1,1,0,1,1,0,1,62,8.0,18,9,9,6,4,2,38,16,22,24,13,11,62,8.906882591,0,0,0,30,18,12,15,3,12,0.0,116.1735,1,0,0,0,0,1,0,0,0,0,0,0,8,5,0,2,0,0,1,0,0,0,0,0,3,1,2,0,0,0,0,0,2,1,0,0,1,1,0,1,0,0,54.455138712708596,42.252678208834155,0.0,0.0,0.0,0.019087853124418838,0.0,71.36202130370859,10.427064927016014,Bajo-medio
San Joaquín       ,40801,13267,29,25,54,0,0,0,0,0,0,0,0,0,0,0,0,54,29,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0.0,46,25,21,8,4,4,6,4,2,1,0,1,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,54,10.666666666,14,8,6,1,1,0,39,20,19,15,9,6,54,5.263157894,2,2,0,28,18,10,14,3,11,13.333333333,130.9315,0,0,0,0,7,1,0,0,0,0,0,0,5,2,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,1,0,0,69.16094779627103,42.252678208834155,0.0,0.0,0.0,0.019087853124418838,0.0,98.42410568927103,17.355435518186795,Medio
San Joaquín       ,40801,14925,104,120,224,5,3,2,0,0,0,4,3,1,8,3,5,196,95,101,17,9,8,0,0,0,0,0,0,0,0,0,11,17,9,8,224,8.415841584,205,99,106,19,5,14,2,0,2,2,2,0,0,0,0,6,2,4,3,2,1,0,0,0,8,0,8,224,25.333333333,52,16,36,16,7,9,156,81,75,68,23,45,224,26.720647773,7,7,0,105,60,45,77,24,53,46.666666666,74.2839,0,1,0,0,13,6,2,0,0,0,6,0,10,6,6,1,0,0,5,2,3,2,0,0,1,2,5,2,5,1,2,8,1,3,1,3,0,2,0,6,0,0,12.713679152687114,42.252678208834155,0.0,0.0,0.0,0.019087853124418838,0.0,119.85016850868712,22.840885249539223,Alto-medio
San Joaquín       ,40801,16926,28,38,66,4,3,1,0,0,0,0,0,0,0,0,0,62,25,37,4,3,1,0,0,0,0,0,0,0,0,0,0,4,3,1,66,1.980198019,57,24,33,9,4,5,3,1,2,6,4,2,1,1,0,6,1,5,1,1,0,1,1,0,0,0,0,66,12.0,11,5,6,12,4,8,43,19,24,23,9,14,66,8.502024291,5,5,0,26,10,16,27,8,19,33.333333333,110.2429,0,0,0,0,3,3,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,2,0,2,2,0,0,0,1,1,2,0,4,0,0,48.54551197799011,42.252678208834155,0.0,0.0,0.0,0.019087853124418838,0.0,104.3610676209901,18.875402415879552,Alto-medio
San Joaquín       ,40801,17198,22,29,51,0,0,0,0,0,0,0,0,0,0,0,0,50,22,28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,51,0.0,51,22,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0.0,10,6,4,9,3,6,32,13,19,19,9,10,51,6.882591093,0,0,0,20,10,10,22,7,15,0.0,95.24,1,0,0,0,2,2,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,2,1,1,0,1,2,0,2,0,0,0,1,0,0,0,0,33.59566897082255,42.252678208834155,0.0,0.0,0.0,0.019087853124418838,0.0,40.47826006382255,2.5202777013682667,Bajo
San Joaquín       ,40801,17229,76,79,155,0,0,0,0,0,0,6,2,4,0,0,0,147,74,73,6,2,4,0,0,0,0,0,0,0,0,0,2,6,2,4,155,2.970297029,140,69,71,15,7,8,6,2,4,6,2,4,0,0,0,6,2,4,2,2,0,1,0,1,1,1,0,155,20.0,20,13,7,17,7,10,118,56,62,37,20,17,155,14.170040485,0,0,0,73,39,34,64,24,40,0.0,89.4843,4,1,0,0,4,4,0,1,0,0,2,0,5,3,2,1,2,0,0,0,1,1,0,0,1,0,9,7,2,3,5,6,0,1,1,2,0,1,1,3,0,0,27.86032371114913,42.252678208834155,0.0,0.0,0.0,0.019087853124418838,0.0,65.00066122514913,8.798444623413218,Bajo-medio
